2025-05-15 17:01:41.713 | INFO:root:1/17
2025-05-15 17:01:41.946 | INFO:root:2/17
2025-05-15 17:01:42.287 | INFO:root:3/17
2025-05-15 17:01:42.446 | INFO:root:4/17
2025-05-15 17:01:43.363 | INFO:root:5/17
2025-05-15 17:01:43.487 | INFO:root:6/17
2025-05-15 17:01:43.887 | INFO:root:7/17
2025-05-15 17:01:44.310 | INFO:root:8/17
2025-05-15 17:02:00.845 | INFO:root:9/17
2025-05-15 17:02:03.014 | INFO:root:10/17
2025-05-15 17:02:03.125 | INFO:root:11/17
2025-05-15 17:02:03.382 | INFO:root:12/17
2025-05-15 17:02:03.457 | INFO:root:13/17
2025-05-15 17:02:04.055 | INFO:root:14/17
2025-05-15 17:02:04.198 | INFO:root:15/17
2025-05-15 17:02:04.250 | INFO:root:16/17
2025-05-15 17:02:05.928 | INFO:root:17/17
2025-05-15 17:02:05.943 | INFO:root:262 unaligned words (of 326)
2025-05-15 17:02:39.388 | INFO:root:after 2nd pass: 227 unaligned words (of 326)
2025-05-15 17:02:39.580 | INFO:root:done with transcription.
2025-05-15 17:02:49.530 | INFO:root:1/1
2025-05-15 17:02:49.532 | INFO:root:0 unaligned words (of 6)
2025-05-15 17:02:49.554 | INFO:root:after 2nd pass: 0 unaligned words (of 6)
2025-05-15 17:02:49.559 | INFO:root:done with transcription.
2025-05-15 17:03:15.012 | INFO:root:1/15
2025-05-15 17:03:15.023 | INFO:root:2/15
2025-05-15 17:03:15.130 | INFO:root:3/15
2025-05-15 17:03:15.206 | INFO:root:4/15
2025-05-15 17:03:15.217 | INFO:root:5/15
2025-05-15 17:03:15.273 | INFO:root:6/15
2025-05-15 17:03:15.529 | INFO:root:7/15
2025-05-15 17:03:15.642 | INFO:root:8/15
2025-05-15 17:03:21.647 | INFO:root:9/15
2025-05-15 17:03:32.219 | INFO:root:10/15
2025-05-15 17:03:32.424 | INFO:root:11/15
2025-05-15 17:03:32.540 | INFO:root:12/15
2025-05-15 17:03:32.567 | INFO:root:13/15
2025-05-15 17:03:32.796 | INFO:root:14/15
2025-05-15 17:03:32.816 | INFO:root:15/15
2025-05-15 17:03:32.824 | INFO:root:7 unaligned words (of 13)
2025-05-15 17:03:38.119 | INFO:root:after 2nd pass: 1 unaligned words (of 13)
2025-05-15 17:03:38.127 | INFO:root:done with transcription.
2025-05-15 17:04:03.029 | INFO:root:1/15
2025-05-15 17:04:03.121 | INFO:root:2/15
2025-05-15 17:04:03.266 | INFO:root:3/15
2025-05-15 17:04:03.372 | INFO:root:4/15
2025-05-15 17:04:03.768 | INFO:root:5/15
2025-05-15 17:04:03.801 | INFO:root:6/15
2025-05-15 17:04:04.099 | INFO:root:7/15
2025-05-15 17:04:04.109 | INFO:root:8/15
2025-05-15 17:04:09.834 | INFO:root:9/15
2025-05-15 17:04:19.653 | INFO:root:10/15
2025-05-15 17:04:19.829 | INFO:root:11/15
2025-05-15 17:04:19.929 | INFO:root:12/15
2025-05-15 17:04:19.982 | INFO:root:13/15
2025-05-15 17:04:20.005 | INFO:root:14/15
2025-05-15 17:04:20.027 | INFO:root:15/15
2025-05-15 17:04:20.033 | INFO:root:1 unaligned words (of 31)
2025-05-15 17:04:20.051 | INFO:root:after 2nd pass: 1 unaligned words (of 31)
2025-05-15 17:04:20.069 | INFO:root:done with transcription.
2025-05-15 17:04:47.186 | INFO:root:1/15
2025-05-15 17:04:47.310 | INFO:root:2/15
2025-05-15 17:04:47.586 | INFO:root:3/15
2025-05-15 17:04:47.691 | INFO:root:4/15
2025-05-15 17:04:47.743 | INFO:root:5/15
